date,hospitalBedsRequired,hospitalBedCapacity,ICUBedsInUse,ICUBedCapacity,ventilatorsInUse,ventilatorCapacity,RtIndicator,RtIndicatorCI90,cumulativeDeaths,cumulativeInfected,currentInfected,currentSusceptible,currentExposed,fips_char,fips
2020-03-03,46,5456,21,235,21,673,,,799,38,52,3565158,59,09000,9000
2020-03-04,47,5456,22,235,21,673,,,799,65,67,3565114,75,09000,9000
2020-03-05,47,5456,22,235,22,673,,,799,101,87,3565057,97,09000,9000
2020-03-06,47,5456,22,235,22,673,,,799,146,112,3564984,125,09000,9000
2020-03-07,47,5456,22,235,22,673,,,800,204,144,3564890,160,09000,9000
2020-03-08,48,5456,22,235,22,673,,,800,278,185,3564770,206,09000,9000
2020-03-09,48,5456,22,235,22,673,2.0669762761,0.9910285856,800,374,237,3564615,265,09000,9000
2020-03-10,49,5456,22,235,22,673,2.0817668756,0.6807632646,800,497,305,3564417,340,09000,9000
2020-03-11,49,5456,22,235,22,673,2.0945450446,0.5211899522,800,655,392,3564162,438,09000,9000
2020-03-12,50,5456,23,235,22,673,2.1044950744,0.4317150856,800,858,504,3563834,562,09000,9000
2020-03-13,52,5456,23,235,22,673,2.1132293992,0.4291937033,800,1119,648,3563413,722,09000,9000
2020-03-14,53,5456,24,235,23,673,2.1186272008,0.375673968,800,1454,832,3562873,928,09000,9000
2020-03-15,55,5456,24,235,23,673,2.1202496874,0.3867526018,800,1884,1069,3562178,1192,09000,9000
2020-03-16,58,5456,25,235,24,673,2.1184457122,0.3699528565,801,2436,1373,3561287,1531,09000,9000
2020-03-17,61,5456,26,235,24,673,2.1122034772,0.2909257968,801,3146,1764,3560141,1967,09000,9000
2020-03-18,66,5456,28,235,25,673,2.1012529317,0.2652194336,802,4058,2266,3558671,2525,09000,9000
2020-03-19,71,5456,29,235,26,673,2.0853067853,0.2294081707,802,5228,2910,3556783,3243,09000,9000
2020-03-20,78,5456,32,235,28,673,2.0640605277,0.2239944316,803,6731,3737,3554361,4163,09000,9000
2020-03-21,87,5456,34,235,29,673,2.0377149681,0.2142792315,804,8659,4798,3551253,5342,09000,9000
